States,States,Jobs
29-2011,Alaska,230
29-2012,Alaska,420
29-2021,Alaska,480
29-2031,Alaska,80
29-2032,Alaska,70
29-2033,Alaska,40
29-2037,Alaska,0
29-2041,Alaska,330
29-2051,Alaska,0
29-2052,Alaska,680
29-2053,Alaska,290
29-2054,Alaska,0
29-2055,Alaska,90
29-2056,Alaska,190
29-2061,Alaska,500
29-2071,Alaska,640
29-2081,Alaska,140
29-2091,Alaska,0
29-2799,Alaska,0
29-9011,Alaska,520
29-9012,Alaska,100
29-9091,Alaska,0
29-9799,Alaska,0
31-1011,Alaska,1370
31-1013,Alaska,0
31-2011,Alaska,0
31-2012,Alaska,0
31-2021,Alaska,70
31-2022,Alaska,30
31-9011,Alaska,770
31-9091,Alaska,1360
31-9092,Alaska,1500
31-9093,Alaska,110
31-9094,Alaska,120
31-9095,Alaska,80
31-9096,Alaska,120
31-9799,Alaska,0
33-1011,Alaska,80
33-1012,Alaska,300
33-1021,Alaska,160
33-2011,Alaska,780
33-2021,Alaska,0
33-2022,Alaska,0
33-3011,Alaska,0
33-3012,Alaska,1240
33-3021,Alaska,100
33-3031,Alaska,0
33-3041,Alaska,0
33-3051,Alaska,1110
33-3052,Alaska,0
33-9011,Alaska,40
33-9021,Alaska,40
33-9031,Alaska,0
33-9032,Alaska,2070
33-9091,Alaska,180
33-9092,Alaska,310
35-1011,Alaska,700
35-1012,Alaska,1740
35-2011,Alaska,780
35-2012,Alaska,960
35-2013,Alaska,0
35-2014,Alaska,1900
35-2015,Alaska,430
35-2021,Alaska,4680
35-3011,Alaska,1740
35-3021,Alaska,4530
35-3022,Alaska,2540
35-3031,Alaska,4260
35-3041,Alaska,280
35-9011,Alaska,920
35-9021,Alaska,1670
35-9031,Alaska,910
37-1011,Alaska,370
37-1012,Alaska,0
37-2011,Alaska,6240
37-2012,Alaska,3080
37-2021,Alaska,0
37-3011,Alaska,980
37-3012,Alaska,0
37-3013,Alaska,120
39-1011,Alaska,40
39-1012,Alaska,0
39-1021,Alaska,380
39-2011,Alaska,30
39-2021,Alaska,340
39-3011,Alaska,90
39-3012,Alaska,310
39-3021,Alaska,0
39-3031,Alaska,0
39-3091,Alaska,680
39-3092,Alaska,0
39-3093,Alaska,50
39-4011,Alaska,0
39-4021,Alaska,30
39-4831,Alaska,0
39-5011,Alaska,0
39-5012,Alaska,510
39-5091,Alaska,0
39-5092,Alaska,90
39-5093,Alaska,0
39-5094,Alaska,0
39-6011,Alaska,90
39-6012,Alaska,60
39-7011,Alaska,680
39-7012,Alaska,0
39-9011,Alaska,2500
39-9021,Alaska,4900
39-9031,Alaska,560
39-9032,Alaska,590
39-9041,Alaska,150
41-1011,Alaska,2360
41-1012,Alaska,150
41-2011,Alaska,6470
41-2012,Alaska,0
41-2021,Alaska,930
41-2022,Alaska,700
41-2031,Alaska,10470
41-3011,Alaska,230
41-3021,Alaska,610
41-3031,Alaska,200
41-3041,Alaska,140
41-4011,Alaska,500
41-4012,Alaska,1670
41-9011,Alaska,220
41-9012,Alaska,0
41-9021,Alaska,90
41-9022,Alaska,190
41-9031,Alaska,70
41-9041,Alaska,0
41-9091,Alaska,60
43-1011,Alaska,3170
43-2011,Alaska,160
43-2021,Alaska,0
43-3011,Alaska,360
43-3021,Alaska,1190
43-3031,Alaska,4670
43-3041,Alaska,0
43-3051,Alaska,430
43-3061,Alaska,260
43-3071,Alaska,1290
43-4011,Alaska,60
43-4021,Alaska,0
43-4031,Alaska,580
43-4041,Alaska,40
43-4051,Alaska,3660
43-4061,Alaska,500
43-4071,Alaska,420
43-4081,Alaska,1040
43-4111,Alaska,130
43-4121,Alaska,250
43-4131,Alaska,390
43-4141,Alaska,50
43-4151,Alaska,190
43-4161,Alaska,440
43-4171,Alaska,2670
43-4181,Alaska,620
43-5011,Alaska,660
43-5021,Alaska,0
43-5031,Alaska,310
43-5032,Alaska,720
43-5041,Alaska,40
43-5051,Alaska,400
43-5052,Alaska,460
43-5053,Alaska,270
43-5061,Alaska,500
43-5071,Alaska,1230
43-5081,Alaska,4080
43-5111,Alaska,40
43-6011,Alaska,2010
43-6012,Alaska,270
43-6013,Alaska,1410
43-6014,Alaska,6920
43-9011,Alaska,140
43-9021,Alaska,240
43-9022,Alaska,120
43-9031,Alaska,0
43-9041,Alaska,160
