soc_name,sector
Teachers and Instructors; All Other,61
Athletic Trainers,62
Childcare Workers,62
Personal Care Aides,62
Fitness Trainers and Aerobics Instructors,62
Medical Secretaries,62
Marriage and Family Therapists,62
Medical Equipment Repairers,62
Medical and Health Services Managers,62
Biomedical Engineers,62
Epidemiologists,62
Medical Scientists; Except Epidemiologists,62
Clinical; Counseling; and School Psychologists,62
Psychologists; All Other,62
Sociologists,62
Biological Technicians,62
Environmental Science and Protection Technicians; Including Health,62
Life; Physical; and Social Science Technicians; All Other,62
Substance Abuse and Behavioral Disorder Counselors,62
Mental Health Counselors,62
Rehabilitation Counselors,62
Healthcare Social Workers,62
Mental Health and Substance Abuse Social Workers,62
Health Educators,62
Dentists; General,62
Oral and Maxillofacial Surgeons,62
Orthodontists,62
Prosthodontists,62
Dietitians and Nutritionists,62
Optometrists,62
Pharmacists,62
Physicians and Surgeons,62
Physician Assistants,62
Podiatrists,62
Registered Nurses,62
Occupational Therapists,62
Physical Therapists,62
Radiation Therapists,62
Recreational Therapists,62
Respiratory Therapists,62
Speech-Language Pathologists,62
Audiologists,62
Health Diagnosing and Treating Practitioners; All Other,62
Medical and Clinical Laboratory Technologists,62
Medical and Clinical Laboratory Technicians,62
Dental Hygienists,62
Cardiovascular Technologists and Technicians,62
Diagnostic Medical Sonographers,62
Nuclear Medicine Technologists,62
Radiologic Technologists and Technicians,62
Emergency Medical Technicians and Paramedics,62
Dietetic Technicians,62
Pharmacy Technicians,62
Psychiatric Technicians,62
Respiratory Therapy Technicians,62
Surgical Technologists,62
Veterinary Technologists and Technicians,62
Licensed Practical and Licensed Vocational Nurses,62
Medical Records and Health Information Technicians,62
Opticians; Dispensing,62
Orthotists and Prosthetists,62
Health Technologists and Technicians; All Other,62
Occupational Health and Safety Specialists,62
Occupational Health and Safety Technicians,62
Healthcare Practitioners and Technical Workers; All Other,62
Home Health Aides,62
Psychiatric Aides,62
Occupational Therapy Assistants,62
Occupational Therapy Aides,62
Physical Therapist Assistants,62
Physical Therapist Aides,62
Massage Therapists,62
Dental Assistants,62
Medical Assistants,62
Medical Equipment Preparers,62
Medical Transcriptionists,62
Pharmacy Aides,62
Veterinary Assistants and Laboratory Animal Caretakers,62
Healthcare Support Workers; All Other,62
Travel Agents,71
Models,71
Recreational Vehicle Service Technicians,71
Musical Instrument Repairers and Tuners,71
Gaming Managers,71
Agents and Business Managers of Artists; Performers; and Athletes,71
Archivists,71
Curators,71
Museum Technicians and Conservators,71
Librarians,71
Library Technicians,71
Audio-Visual and Multimedia Collections Specialists,71
Farm and Home Management Advisors,71
Instructional Coordinators,71
Teacher Assistants,71
Art Directors,71
Craft Artists,71
Fine Artists; Including Painters; Sculptors; and Illustrators,71
Floral Designers,71
Actors,71
Producers and Directors,71
Athletes and Sports Competitors,71
Coaches and Scouts,71
Umpires; Referees; and Other Sports Officials,71
Dancers,71
Choreographers,71
Music Directors and Composers,71
Musicians and Singers,71
